iter	Passed	Remaining
441	1268	1601
442	1270	1597
443	1272	1592
444	1273	1588
445	1275	1583
446	1276	1579
447	1279	1576
448	1280	1571
449	1282	1567
450	1285	1564
451	1286	1560
452	1288	1555
453	1289	1551
454	1292	1547
455	1294	1544
456	1296	1540
457	1298	1536
458	1300	1532
459	1302	1528
460	1303	1524
461	1305	1520
462	1307	1516
463	1309	1513
464	1311	1509
465	1313	1505
466	1316	1502
467	1318	1498
468	1321	1496
469	1324	1493
470	1326	1489
471	1328	1485
472	1330	1481
473	1331	1477
474	1335	1475
475	1337	1472
476	1340	1469
477	1342	1466
478	1344	1462
479	1346	1458
480	1348	1455
481	1351	1452
482	1354	1449
483	1355	1445
484	1358	1442
485	1360	1439
486	1363	1435
487	1365	1432
488	1366	1428
489	1368	1424
490	1369	1420
491	1371	1415
492	1372	1411
493	1374	1407
494	1376	1404
495	1378	1400
496	1379	1396
497	1381	1392
498	1382	1388
499	1384	1384
500	1385	1380
501	1387	1376
502	1389	1372
503	1391	1369
504	1393	1365
505	1395	1362
506	1397	1358
507	1398	1354
508	1400	1350
509	1401	1346
510	1403	1343
511	1405	1339
512	1407	1336
513	1409	1333
514	1411	1329
515	1413	1326
516	1415	1322
517	1417	1318
518	1418	1314
519	1421	1311
520	1423	1308
521	1425	1305
522	1427	1302
523	1429	1298
524	1431	1295
525	1434	1292
526	1436	1289
527	1439	1286
528	1441	1283
529	1443	1280
530	1445	1276
531	1448	1273
532	1450	1270
533	1452	1267
534	1453	1263
535	1455	1260
536	1457	1257
537	1459	1253
538	1460	1249
539	1462	1246
540	1465	1243
541	1467	1240
542	1469	1236
543	1471	1233
544	1473	1230
545	1475	1226
546	1477	1223
547	1480	1221
548	1482	1217
549	1484	1214
550	1486	1211
551	1488	1208
552	1490	1205
553	1493	1201
554	1494	1198
555	1496	1195
556	1498	1191
557	1499	1187
558	1501	1184
559	1502	1180
560	1505	1177
561	1506	1174
562	1508	1171
563	1510	1167
564	1512	1164
565	1513	1160
566	1515	1157
567	1517	1154
568	1520	1151
569	1522	1148
570	1524	1145
571	1526	1142
572	1528	1139
573	1530	1135
574	1532	1132
575	1535	1129
576	1536	1126
577	1538	1123
578	1540	1120
579	1542	1116
580	1543	1113
581	1545	1110
582	1547	1106
583	1549	1103
584	1551	1100
585	1553	1097
586	1554	1093
587	1556	1090
588	1557	1087
589	1559	1083
590	1561	1080
591	1563	1077
592	1565	1074
593	1567	1071
594	1568	1067
595	1570	1064
596	1572	1061
597	1574	1058
598	1576	1055
599	1578	1052
600	1580	1049
601	1583	1046
602	1584	1043
603	1588	1041
604	1590	1038
605	1592	1035
606	1594	1032
607	1596	1029
608	1597	1025
609	1599	1022
610	1601	1019
611	1602	1016
612	1604	1012
613	1606	1010
614	1608	1006
615	1610	1003
616	1612	1000
617	1614	998
618	1616	995
619	1618	991
620	1621	989
621	1624	987
622	1627	985
623	1629	982
624	1631	978
625	1633	975
626	1635	973
627	1637	970
628	1640	967
629	1642	964
630	1644	961
631	1645	958
632	1648	955
633	1650	952
634	1652	949
635	1654	947
636	1656	944
637	1658	940
638	1659	937
639	1662	934
640	1665	932
641	1668	930
642	1670	927
643	1671	924
644	1673	921
645	1676	918
646	1681	917
647	1684	914
648	1685	911
649	1687	908
650	1689	905
651	1691	902
652	1693	900
653	1697	897
654	1698	894
655	1700	891
656	1702	888
657	1704	885
658	1709	884
659	1712	882
660	1714	879
661	1716	876
662	1718	873
663	1720	870
664	1724	868
665	1725	865
666	1727	862
667	1729	859
668	1731	856
669	1733	853
670	1737	852
671	1740	849
672	1741	846
673	1743	843
674	1745	840
675	1747	837
676	1751	835
677	1753	832
678	1755	829
679	1757	827
680	1759	824
681	1760	820
682	1763	818
683	1765	815
684	1767	812
685	1769	810
686	1771	807
687	1773	804
688	1774	801
689	1777	798
690	1779	795
691	1782	793
692	1784	790
693	1786	787
694	1789	785
695	1793	783
696	1796	780
697	1798	778
698	1800	775
699	1802	772
700	1804	769
701	1807	767
702	1809	764
703	1812	762
704	1814	759
705	1816	756
706	1819	754
707	1822	751
708	1826	749
709	1828	746
710	1829	743
711	1832	741
712	1835	738
713	1837	736
714	1840	733
715	1842	730
716	1844	728
717	1846	725
718	1849	722
719	1851	720
720	1854	717
721	1856	714
722	1858	711
723	1859	709
724	1862	706
725	1864	703
726	1866	700
727	1868	698
728	1870	695
729	1872	692
730	1875	690
731	1878	687
732	1881	685
733	1884	682
734	1886	680
735	1888	677
736	1891	675
737	1895	672
738	1897	670
739	1899	667
740	1901	664
741	1903	662
742	1906	659
743	1909	656
744	1911	654
745	1912	651
746	1914	648
747	1916	645
748	1918	643
749	1925	641
750	1929	639
751	1932	637
752	1934	634
753	1938	632
754	1941	629
755	1944	627
756	1946	624
757	1948	621
758	1950	619
759	1953	616
760	1955	614
761	1958	611
762	1959	608
763	1961	605
764	1966	604
765	1968	601
766	1971	598
767	1972	596
768	1974	593
769	1977	590
770	1980	588
771	1983	585
772	1985	582
773	1986	580
774	1989	577
775	1992	575
776	1994	572
777	1996	569
778	1998	566
779	2000	564
780	2004	561
781	2006	559
782	2008	556
783	2010	553
784	2012	551
785	2014	548
786	2018	546
787	2020	543
788	2024	541
789	2026	538
790	2028	536
791	2030	533
792	2034	530
793	2036	528
794	2038	525
795	2040	523
796	2043	520
797	2046	518
798	2049	515
799	2052	513
800	2054	510
801	2056	507
802	2058	504
803	2061	502
804	2063	499
805	2065	497
806	2067	494
807	2069	491
808	2070	488
809	2073	486
810	2075	483
811	2077	481
812	2079	478
813	2081	475
814	2083	472
815	2084	470
816	2086	467
817	2088	464
818	2090	462
819	2093	459
820	2094	456
821	2097	454
822	2100	451
823	2106	449
824	2110	447
825	2113	445
826	2115	442
827	2117	439
828	2120	437
829	2122	434
830	2124	432
831	2126	429
832	2128	426
833	2130	423
834	2132	421
835	2135	418
836	2137	416
837	2138	413
838	2141	410
839	2143	408
840	2145	405
841	2148	403
842	2150	400
843	2152	397
844	2154	395
845	2156	392
846	2158	389
847	2161	387
848	2164	385
849	2167	382
850	2169	379
851	2171	377
852	2172	374
853	2175	371
854	2178	369
855	2180	366
856	2182	364
857	2184	361
858	2185	358
859	2188	356
860	2191	353
861	2193	351
862	2195	348
863	2197	345
864	2199	343
865	2201	340
866	2206	338
867	2209	335
868	2211	333
869	2213	330
870	2215	328
871	2218	325
872	2221	323
873	2224	320
874	2226	318
875	2228	315
876	2230	312
877	2233	310
878	2235	307
879	2237	305
880	2240	302
881	2242	299
882	2245	297
883	2248	295
884	2251	292
885	2254	290
886	2256	287
887	2259	284
888	2261	282
889	2263	279
890	2266	277
891	2269	274
892	2272	272
893	2274	269
894	2277	267
895	2280	264
896	2282	262
897	2284	259
898	2286	256
899	2289	254
900	2295	252
901	2297	249
902	2299	247
903	2301	244
904	2303	241
905	2306	239
906	2309	236
907	2311	234
908	2313	231
909	2315	228
910	2316	226
911	2319	223
912	2323	221
913	2325	218
914	2327	216
915	2329	213
916	2330	210
917	2332	208
918	2335	205
919	2337	203
920	2339	200
921	2342	198
922	2343	195
923	2345	192
924	2348	190
925	2351	187
926	2353	185
927	2356	182
928	2358	180
929	2361	177
930	2364	175
931	2367	172
932	2370	170
933	2372	167
934	2373	165
935	2376	162
936	2380	160
937	2382	157
938	2384	154
939	2386	152
940	2388	149
941	2390	147
942	2393	144
943	2395	142
944	2397	139
945	2398	136
946	2400	134
947	2401	131
948	2403	129
949	2406	126
950	2408	124
951	2410	121
952	2412	118
953	2414	116
954	2416	113
955	2418	111
956	2422	108
957	2424	106
958	2426	103
959	2428	101
960	2430	98
961	2431	96
962	2435	93
963	2437	91
964	2439	88
965	2440	85
966	2442	83
967	2444	80
968	2446	78
969	2449	75
970	2451	73
971	2452	70
972	2454	68
973	2455	65
974	2457	63
975	2459	60
976	2461	57
977	2464	55
978	2465	52
979	2467	50
980	2469	47
981	2471	45
982	2473	42
983	2476	40
984	2479	37
985	2481	35
986	2483	32
987	2485	30
988	2487	27
989	2488	25
990	2492	22
991	2494	20
992	2496	17
993	2497	15
994	2499	12
995	2502	10
996	2504	7
997	2507	5
998	2508	2
999	2510	0
